experiment,system,judge,macro_dim,score
encode_harmfulness_refusal,AI-Scientist,LLM,Experiment design,36.0
encode_harmfulness_refusal,AI-Scientist,LLM,Experiment execution,30.0
encode_harmfulness_refusal,AI-Scientist,LLM,Result analysis,20.0
esmfold_mechanism,Claude Code,LLM,Data usage,60.0
esmfold_mechanism,Claude Code,LLM,Experiment design,70.0
esmfold_mechanism,Claude Code,LLM,Experiment execution,60.0
esmfold_mechanism,Claude Code,LLM,Result analysis,68.87
esmfold_mechanism,Mechanist,LLM,Data usage,60.0
esmfold_mechanism,Mechanist,LLM,Experiment design,71.7
esmfold_mechanism,Mechanist,LLM,Experiment execution,60.0
esmfold_mechanism,Mechanist,LLM,Result analysis,57.8
esmfold_mechanism,AI-Scientist,LLM,Data usage,40.0
esmfold_mechanism,AI-Scientist,LLM,Experiment design,28.35
esmfold_mechanism,AI-Scientist,LLM,Experiment execution,30.0
esmfold_mechanism,AI-Scientist,LLM,Result analysis,40.0
interplm,Claude Code,LLM,Data usage,60.0
interplm,Claude Code,LLM,Experiment design,59.0
interplm,Claude Code,LLM,Experiment execution,60.0
interplm,Claude Code,LLM,Result analysis,61.33
interplm,Mechanist,LLM,Data usage,70.0
interplm,Mechanist,LLM,Experiment design,58.0
interplm,Mechanist,LLM,Experiment execution,60.0
interplm,Mechanist,LLM,Result analysis,74.67
interplm,AI-Scientist,LLM,Data usage,30.0
interplm,AI-Scientist,LLM,Experiment design,34.0
interplm,AI-Scientist,LLM,Experiment execution,40.0
interplm,AI-Scientist,LLM,Result analysis,37.33
