类别,实验,sci,n,placeholder,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
reasoning,propositional_logic_circuit,s2,1,,93.58,42.11,45.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,38.0,5.0,4.33,3.0,4.11
reasoning,propositional_logic_circuit,s3,1,,73.33,33.0,45.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,30.0,3.0,3.0,3.0,3.0
reasoning,thinking_reasoning_steering,s1,1,,76.3,34.33,45.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,30.0,5.0,4.0,4.0,4.33
reasoning,thinking_reasoning_steering,s2,1,,93.33,42.0,45.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,38.0,5.0,4.0,3.0,4.0
reasoning,thinking_reasoning_steering,s3,1,,65.19,29.33,45.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,26.0,4.0,3.0,3.0,3.33
safety,circuit_breakers,s1,1,,87.08,34.83,40.0,5.0,5.0,4.0,4.0,3.0,,5.0,5.0,31.0,4.5,3.5,3.5,3.83
safety,circuit_breakers,s2,1,,89.17,35.67,40.0,5.0,5.0,4.0,5.0,3.0,,5.0,5.0,32.0,4.0,4.0,3.0,3.67
safety,circuit_breakers,s3,1,,63.75,25.5,40.0,4.0,5.0,4.0,2.0,3.0,,2.0,2.0,22.0,3.5,3.5,3.5,3.5
safety,encode_harmfulness_refusal,s1,1,,48.15,21.67,45.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,19.0,2.4,2.4,3.2,2.67
safety,encode_harmfulness_refusal,s2,1,,67.41,30.33,45.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,27.0,3.2,3.2,3.6,3.33
safety,encode_harmfulness_refusal,s3,1,,35.56,16.0,45.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,14.0,2.6,1.6,1.8,2.0
science,esmfold_mechanism,s1,1,,89.38,40.22,45.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,36.0,4.67,4.0,4.0,4.22
science,esmfold_mechanism,s2,1,,92.84,41.78,45.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,38.0,4.67,3.33,3.33,3.78
science,esmfold_mechanism,s3,1,,40.0,14.0,35.0,,4.0,1.0,1.0,,1.0,4.0,2.0,13.0,1.0,1.0,1.0,1.0
science,interplm,s1,1,,84.3,37.93,45.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,34.0,4.4,3.2,4.2,3.93
science,interplm,s2,1,,97.78,44.0,45.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,5.0,3.33,3.67,4.0
science,interplm,s3,1,,62.96,28.33,45.0,3.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,26.0,2.6,2.2,2.2,2.33
