类别,实验,sci,n,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
reasoning,thinking_reasoning_steering,s1,1,52.9,23.8,45.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,21.0,3.2,2.4,2.8,2.8
reasoning,thinking_reasoning_steering,s2,1,52.9,23.8,45.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,21.0,3.2,2.2,3.0,2.8
reasoning,thinking_reasoning_steering,s3,1,44.6,20.07,45.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,18.0,2.8,1.6,1.8,2.07
safety,circuit_breakers,s1,1,52.8,23.75,45.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,22.0,1.75,1.25,2.25,1.75
safety,circuit_breakers,s2,1,51.7,23.25,45.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,21.0,2.5,1.75,2.5,2.25
safety,circuit_breakers,s3,1,31.5,14.17,45.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,13.0,1.5,1.0,1.0,1.17
safety,encode_harmfulness_refusal,s1,1,55.7,25.07,45.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,22.0,3.4,2.4,3.4,3.07
safety,encode_harmfulness_refusal,s2,1,61.8,27.8,45.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,25.0,3.2,2.2,3.0,2.8
safety,encode_harmfulness_refusal,s3,1,34.2,15.4,45.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,14.0,2.0,1.2,1.0,1.4
science,esmfold_mechanism,s1,1,65.4,29.44,45.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,26.0,3.67,3.33,3.33,3.44
science,esmfold_mechanism,s2,1,64.4,29.0,45.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,26.0,3.67,2.67,2.67,3.0
science,esmfold_mechanism,s3,1,36.0,16.22,45.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,15.0,1.67,1.0,1.0,1.22
science,interplm,s1,1,60.0,27.0,45.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,24.0,3.4,2.4,3.2,3.0
science,interplm,s2,1,66.5,29.93,45.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,27.0,3.0,2.6,3.2,2.93
science,interplm,s3,1,36.6,16.47,45.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,15.0,1.8,1.0,1.6,1.47
